,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
10202,29.0,9979.0,2020-09-22,5426,Female,Sold
10210,100.0,426125.0,2021-11-25,5427,Male,Sold
10217,42.0,138319.0,2021-08-15,5428,Male,Sold
10220,9.0,10343.0,2021-01-22,5429,Female,Sold
10222,60.0,167769.0,2021-08-05,5430,Male,Sold
10226,65.5,269255.0,2021-12-23,5431,Female,Sold
10227,0.06,45.0,2018-05-07,5432,Female,Sold
10230,12.5,4392.0,2020-10-08,5433,Male,Sold
10232,68.0,227240.0,2021-08-23,5434,Male,Sold
10233,21.5,38975.0,2021-03-11,5435,Male,Sold
10239,4.9,6279.0,2021-01-26,5437,Male,Sold
10241,113.0,366259.0,2021-08-28,5438,Female,Sold
10243,114.69,410034.0,2021-10-08,5439,Male,Sold
10244,5.0,1730.0,2020-09-24,5440,Male,Sold
10245,25.0,61047.0,2021-07-30,5441,Female,Sold
10250,68.0,279139.0,2021-12-24,5443,Male,Sold
10252,41.9,90601.0,2021-07-12,5444,Male,Sold
10255,0.23,20.0,2018-12-13,5445,Male,Sold
10258,24.98,53378.0,2021-04-12,5447,Male,Sold
10259,145.0,469142.0,2021-08-28,5448,Male,Sold
10261,0.19,134.0,2018-04-24,5449,Female,Sold
10262,14.75,39399.0,2021-06-02,5450,Male,Sold
10263,24.5,45344.0,2021-06-25,5453,Male,Sold
